col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,sumABCD,open_ratio,ratio_wk,meanABCD,vary_rate,vary_week_rate,vary_week3month_rate,holiday_sale,holiday3month_sale,economy,comment_cnt,per_pay,Monday,Tues,Wends,Thurs,Friday,cate_1_0,cate_1_1,cate_1_2,cate_2_0,cate_2_1,cate_2_2,cate_2_3,cate_2_4,cate_2_5,cate_2_6,cate_2_7,cate_2_8,cate_2_9,cate_2_10,cate_3_0,cate_3_1,cate_3_2,cate_3_3,cate_3_4,cate_3_5,cate_3_6,cate_3_7,cate_3_8,location_id,shop_info_level_0,shop_info_level_1,shop_info_level_2,view_0_x,view_1_x,view_2_x,view_3_x,view_4_x,view_5_x,view_6_x,view_0_y,view_1_y,view_2_y,view_3_y,view_4_y,view_5_y,view_6_y,std,max,min,median,mad,var
43.0,55.0,55.0,46.0,81.0,56.0,84.0,79.0,85.0,95.0,113.0,72.0,58.0,98.0,1020,1.0,0.220098039216,72.8571428571,16,48,35,40,53,1.0,1.0,12,74,74,74,74,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,1.0,0.0,0.0,1,6,9,3,5,4,2,3,1,2,0,3,7,5,21.2416758098,113,43,75.5,17.8571428571,451.208791209
116.0,105.0,83.0,111.0,56.0,76.0,62.0,55.0,55.0,52.0,59.0,83.0,65.0,69.0,1047,1.0,0.34670487106,74.7857142857,20,82,64,86,101,0.92549,2.0,20,75,75,75,75,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,786,1.0,0.0,0.0,14,12,15,21,13,21,14,21,10,7,15,14,24,11,21.9375988148,116,52,67.0,17.8979591837,481.258241758
187.0,177.0,226.0,232.0,217.0,227.0,225.0,234.0,297.0,238.0,250.0,221.0,233.0,235.0,3199,1.0,0.268521412942,228.5,25,199,482,148,194,0.93549,2.0,6,219,219,219,219,219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,286,1.0,0.0,0.0,14,6,8,10,7,4,4,7,6,9,6,5,3,2,27.6426370778,297,177,229.5,17.0714285714,764.115384615
44.0,41.0,65.0,61.0,65.0,58.0,64.0,64.0,56.0,51.0,56.0,79.0,44.0,65.0,813,1.0,0.321033210332,58.0714285714,15,82,67,64,63,0.85827,4.0,7,67,67,67,67,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,862,0.0,0.0,1.0,9,11,19,16,12,16,13,18,21,8,10,16,18,13,10.4031377346,79,41,59.5,8.07142857143,108.225274725
130.0,112.0,196.0,182.0,133.0,132.0,112.0,111.0,113.0,126.0,124.0,203.0,176.0,135.0,1985,1.0,0.333753148615,141.785714286,21,81,65,128,134,0.75665,0.0,19,103,103,103,103,103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101,1.0,0.0,0.0,2,0,2,1,0,0,2,0,1,0,1,0,3,2,32.7559238833,203,111,131.0,27.1224489796,1072.95054945
69.0,68.0,80.0,59.0,49.0,35.0,31.0,41.0,49.0,30.0,69.0,63.0,40.0,42.0,725,1.0,0.303448275862,51.7857142857,21,149,112,73,58,0.69734,3.0,17,48,48,48,48,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,510,0.0,0.0,1.0,13,11,20,34,24,23,19,17,25,23,13,24,22,18,16.1349051697,80,30,49.0,13.8979591837,260.335164835
83.0,62.0,83.0,89.0,89.0,82.0,74.0,82.0,71.0,82.0,89.0,123.0,119.0,89.0,1217,1.0,0.350451930978,86.9285714286,16,104,161,84,106,0.83054,7.0,15,81,81,81,81,81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,707,0.0,0.0,1.0,23,33,28,19,37,31,24,27,37,30,40,22,44,33,16.3916690177,123,62,83.0,10.9183673469,268.686813187
54.0,56.0,75.0,82.0,63.0,98.0,68.0,70.0,87.0,73.0,107.0,104.0,112.0,71.0,1120,1.0,0.30625,80.0,10,71,71,64,64,0.68017,1.0,7,55,55,55,55,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260,1.0,0.0,0.0,11,14,12,3,8,4,3,12,2,8,11,12,10,7,18.9046188902,112,54,74.0,15.7142857143,357.384615385
132.0,148.0,181.0,179.0,150.0,143.0,138.0,153.0,141.0,173.0,150.0,210.0,255.0,163.0,2316,1.0,0.324050086356,165.428571429,34,186,119,184,192,1.0,5.0,11,141,141,141,141,141,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701,0.0,0.0,1.0,10,6,9,3,9,8,7,3,5,10,4,7,7,6,33.285973682,255,132,151.5,24.4081632653,1107.95604396
101.0,89.0,103.0,100.0,157.0,157.0,160.0,167.0,165.0,137.0,154.0,149.0,140.0,155.0,1934,1.0,0.262926577042,138.142857143,20,73,107,76,105,0.90034,3.0,5,149,149,149,149,149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251,1.0,0.0,0.0,17,16,17,8,7,3,9,10,11,2,10,5,4,2,27.5760686183,167,89,151.5,22.9591836735,760.43956044
96.0,89.0,94.0,127.0,67.0,75.0,72.0,70.0,70.0,59.0,82.0,114.0,112.0,69.0,1196,0.952380952381,0.354096989967,85.4285714286,24,88,78,108,124,1.0,1.0,9,83,83,83,83,83,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,860,1.0,0.0,0.0,6,3,4,6,4,4,3,4,1,2,5,4,3,3,20.6312469727,127,59,78.5,17.0612244898,425.648351648
59.0,49.0,68.0,79.0,86.0,57.0,80.0,96.0,116.0,94.0,127.0,102.0,107.0,81.0,1201,1.0,0.287260616153,85.7857142857,14,138,47,72,60,0.52708,3.0,6,61,61,61,61,61,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,777,0.0,0.0,1.0,43,45,43,32,38,37,44,42,36,37,34,26,36,38,22.8950064137,127,49,83.5,18.2142857143,524.181318681
0.0,18.0,2.0,2.0,18.0,12.0,4.0,14.0,10.0,3.0,8.0,10.0,1.0,18.0,120,0.857142857143,0.754166666667,8.57142857143,38,99,158,56,67,0.80264,0.0,3,136,136,136,136,136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,645,0.0,1.0,0.0,0,1,0,4,0,0,1,0,1,0,3,0,0,5,6.68769577099,18,0,9.0,5.71428571429,44.7252747253
109.0,105.0,82.0,64.0,43.0,57.0,36.0,37.0,60.0,69.0,68.0,110.0,124.0,32.0,996,1.0,0.43875502008,71.1428571429,22,91,109,96,93,0.84909,2.0,12,59,59,59,59,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1058,0.0,1.0,0.0,23,17,21,17,17,12,19,12,12,18,27,31,33,18,30.5283150858,124,32,66.0,24.8979591837,931.978021978
96.0,104.0,124.0,113.0,97.0,114.0,142.0,107.0,130.0,113.0,119.0,147.0,121.0,98.0,1625,1.0,0.305538461538,116.071428571,16,130,317,101,133,0.65594,9.0,14,106,106,106,106,106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,354,0.0,0.0,1.0,34,8,30,24,12,25,16,14,12,18,10,24,14,13,15.8428061118,147,96,113.5,12.3673469388,250.994505495
119.0,108.0,108.0,136.0,72.0,88.0,85.0,69.0,79.0,85.0,69.0,147.0,142.0,51.0,1358,1.0,0.357879234168,97.0,19,77,81,83,120,0.83054,3.0,12,68,68,68,68,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,620,0.0,1.0,0.0,9,5,19,9,16,19,4,4,7,7,5,12,10,4,30.0947222564,147,51,86.5,25.4285714286,905.692307692
51.0,64.0,62.0,73.0,84.0,74.0,100.0,92.0,101.0,84.0,98.0,69.0,74.0,80.0,1106,1.0,0.254972875226,79.0,11,66,47,60,74,0.81247,2.0,2,82,82,82,82,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109,0.0,1.0,0.0,12,6,7,5,13,10,7,5,5,5,6,4,7,10,15.1657508881,101,51,77.0,12.2857142857,230.0
103.0,85.0,84.0,83.0,66.0,76.0,53.0,64.0,62.0,62.0,80.0,84.0,86.0,53.0,1041,0.904761904762,0.255043227666,74.3571428571,14,128,764,68,98,0.72983,4.0,14,64,64,64,64,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,975,0.0,0.0,1.0,21,34,24,25,30,34,35,29,20,17,21,21,25,32,14.5687079986,103,53,78.0,12.306122449,212.247252747
119.0,113.0,129.0,125.0,86.0,114.0,82.0,83.0,84.0,85.0,124.0,187.0,166.0,76.0,1573,1.0,0.371582962492,112.357142857,22,113,186,103,148,0.90034,2.0,6,92,92,92,92,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,552,1.0,0.0,0.0,5,9,8,8,6,6,1,2,1,2,9,0,4,2,33.3065185185,187,76,113.5,25.4489795918,1109.32417582
66.0,52.0,46.0,57.0,58.0,47.0,53.0,31.0,48.0,38.0,41.0,38.0,58.0,36.0,669,1.0,0.306427503737,47.7857142857,20,170,140,53,57,0.71901,2.0,7,94,94,94,94,94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,498,0.0,0.0,1.0,33,45,48,41,40,29,41,33,39,42,29,35,48,37,10.1236856425,66,31,47.5,8.21428571429,102.489010989
303.0,359.0,357.0,467.0,412.0,290.0,308.0,290.0,318.0,287.0,314.0,505.0,486.0,337.0,5033,1.0,0.365090403338,359.5,95,159,153,539,539,0.92035,0.0,18,333,333,333,333,333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,571,0.0,1.0,0.0,4,9,1,3,8,4,7,11,7,8,3,3,3,3,76.7370635552,505,287,327.5,61.7142857143,5888.57692308
86.0,107.0,122.0,127.0,397.0,406.0,425.0,406.0,432.0,370.0,426.0,126.0,90.0,454.0,3974,1.0,0.183064921993,283.857142857,101,302,500,136,152,0.93549,0.0,2,427,427,427,427,427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,789,0.0,1.0,0.0,0,1,1,1,1,2,5,1,2,3,1,1,0,0,158.067102179,454,86,383.5,149.306122449,24985.2087912
79.0,111.0,92.0,110.0,84.0,63.0,77.0,56.0,62.0,56.0,66.0,115.0,109.0,74.0,1154,1.0,0.327556325823,82.4285714286,16,82,82,79,79,0.68466,0.0,20,56,56,56,56,56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1159,0.0,1.0,0.0,18,14,9,12,16,20,9,18,15,20,14,20,6,8,21.5038969124,115,56,78.0,18.0612244898,462.417582418
374.0,409.0,414.0,401.0,353.0,341.0,327.0,368.0,346.0,318.0,454.0,539.0,454.0,371.0,5469,1.0,0.309471567014,390.642857143,50,287,200,335,420,0.89222,10.0,4,343,343,343,343,343,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680,1.0,0.0,0.0,23,40,21,21,30,15,13,11,9,22,14,23,15,9,60.3867116596,539,318,372.5,46.7346938776,3646.55494505
191.0,181.0,163.0,171.0,203.0,172.0,141.0,130.0,135.0,107.0,125.0,185.0,222.0,116.0,2242,1.0,0.369536128457,160.142857143,43,149,122,219,230,0.77057,0.0,18,165,165,165,165,165,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,296,1.0,0.0,0.0,6,2,2,3,5,10,7,6,9,8,8,18,16,19,34.9171704353,222,107,167.0,29.5510204082,1219.20879121
87.0,72.0,88.0,90.0,67.0,62.0,75.0,65.0,102.0,61.0,58.0,72.0,83.0,61.0,1043,1.0,0.30393096836,74.5,13,74,119,66,89,0.71901,0.0,17,66,66,66,66,66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,795,1.0,0.0,0.0,3,2,3,5,3,2,2,2,2,1,4,4,10,7,13.4721935853,102,58,72.0,11.1428571429,181.5
114.0,133.0,154.0,239.0,168.0,200.0,199.0,195.0,213.0,214.0,225.0,281.0,321.0,198.0,2854,1.0,0.324456902593,203.857142857,33,139,235,146,202,1.0,4.0,9,190,190,190,190,190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,639,0.0,0.0,1.0,19,16,21,14,14,15,18,15,13,16,13,23,14,12,54.4622058691,321,114,199.5,38.5510204082,2966.13186813
48.0,34.0,50.0,62.0,94.0,85.0,90.0,106.0,62.0,79.0,79.0,67.0,54.0,94.0,1004,1.0,0.254482071713,71.7142857143,20,53,70,38,51,0.90034,0.0,2,86,86,86,86,86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,1.0,0.0,0.0,4,0,0,1,1,1,2,0,2,0,1,1,6,0,21.0619181369,106,34,73.0,17.8571428571,443.604395604
237.0,340.0,281.0,332.0,220.0,216.0,236.0,234.0,265.0,234.0,261.0,357.0,370.0,269.0,3852,1.0,0.370586708204,275.142857143,41,294,487,195,327,1.0,6.0,9,260,260,260,260,260,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,205,1.0,0.0,0.0,39,32,32,22,8,21,9,11,17,26,19,14,22,13,52.9322602561,370,216,263.0,43.4693877551,2801.82417582
82.0,85.0,73.0,92.0,85.0,90.0,64.0,94.0,87.0,80.0,90.0,95.0,113.0,72.0,1202,1.0,0.342762063228,85.8571428571,18,63,62,100,106,0.81658,0.0,18,92,92,92,92,92,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1125,1.0,0.0,0.0,1,2,1,2,0,0,1,0,3,0,1,0,1,0,11.9154530748,113,64,86.0,8.57142857143,141.978021978
185.0,261.0,254.0,264.0,132.0,175.0,144.0,186.0,143.0,141.0,233.0,364.0,391.0,148.0,3021,1.0,0.38646143661,215.785714286,55,182,532,231,324,1.0,9.0,10,234,234,234,234,234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1054,0.0,0.0,1.0,39,51,38,20,19,17,35,10,27,15,16,34,26,18,83.1820788497,391,132,185.5,67.4693877551,6919.25824176
129.0,125.0,106.0,105.0,81.0,95.0,74.0,66.0,58.0,58.0,82.0,102.0,85.0,87.0,1253,1.0,0.337190742219,89.5,13,60,85,71,94,0.69734,2.0,1,84,84,84,84,84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,1.0,0.0,0.0,8,7,11,6,13,2,1,5,3,6,3,5,4,2,22.2771010405,129,58,86.0,17.8571428571,496.269230769
149.0,193.0,181.0,159.0,114.0,86.0,62.0,60.0,59.0,22.0,80.0,63.0,94.0,63.0,1385,1.0,0.303249097473,98.9285714286,26,173,116,92,95,0.51679,3.0,15,80,80,80,80,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.220632948,193,22,83.0,43.0510204082,2726.99450549
72.0,71.0,78.0,67.0,52.0,68.0,51.0,53.0,33.0,51.0,50.0,84.0,71.0,51.0,852,1.0,0.293427230047,60.8571428571,11,79,60,60,67,0.60983,5.0,20,56,56,56,56,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1088,0.0,0.0,1.0,194,182,152,166,248,211,142,178,166,201,215,252,245,177,14.0704663028,84,33,60.0,12.1428571429,197.978021978
74.0,49.0,69.0,56.0,38.0,24.0,22.0,30.0,32.0,18.0,48.0,56.0,39.0,30.0,585,1.0,0.384615384615,41.7857142857,17,84,84,74,74,0.92549,0.0,16,39,39,39,39,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,436,1.0,0.0,0.0,3,6,4,1,2,3,4,1,1,5,1,4,5,4,17.4143114064,74,18,38.5,14.4693877551,303.258241758
116.0,127.0,129.0,116.0,177.0,178.0,181.0,190.0,182.0,183.0,169.0,141.0,183.0,209.0,2281,1.0,0.286058746164,162.928571429,18,96,143,119,172,0.89222,0.0,10,201,201,201,201,201,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,575,0.0,1.0,0.0,7,3,2,4,5,4,3,5,3,4,8,3,3,1,30.5600651573,209,116,177.5,26.5204081633,933.917582418
45.0,44.0,39.0,51.0,156.0,152.0,155.0,157.0,173.0,176.0,160.0,79.0,84.0,159.0,1630,1.0,0.244171779141,116.428571429,34,247,268,65,66,0.92035,0.0,6,134,134,134,134,134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322,0.0,1.0,0.0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,55.123238553,176,39,153.5,50.9387755102,3038.57142857
569.0,569.0,594.0,497.0,467.0,406.0,405.0,432.0,387.0,394.0,402.0,513.0,540.0,355.0,6530,1.0,0.309724349158,466.428571429,66,246,246,503,503,0.77426,0.0,18,420,420,420,420,420,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,516,1.0,0.0,0.0,3,2,5,0,8,4,3,4,3,4,6,4,5,2,79.6943336329,594,355,449.5,69.1428571429,6351.18681319
